pathway	pval	padj	log2err	ES	NES	size
PID_AJDISS_2PATHWAY	0.292016806722689	0.553295002211411	0.11378726182188	-0.286947477343973	-1.10850067494842	18
PID_ARF6_PATHWAY	0.290513833992095	0.553295002211411	0.110122263835536	0.348444152213062	1.15831340266851	12
PID_FCER1_PATHWAY	0.273684210526316	0.553295002211411	0.118287526124085	-0.24011883249627	-1.13025055288665	33
PID_IL2_STAT5_PATHWAY	0.283057851239669	0.553295002211411	0.114750719227023	-0.349328557671835	-1.13165248538341	11
PID_IL6_7_PATHWAY	0.27061310782241	0.553295002211411	0.119348440591015	-0.280322546180343	-1.17250474180451	23
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	0.286885245901639	0.553295002211411	0.11331290842208	-0.321229771596725	-1.12186242259875	13
PID_P38_MK2_PATHWAY	0.266798418972332	0.553295002211411	0.115734447701689	0.354788981489827	1.17940516369318	12
PID_RB_1PATHWAY	0.283269961977186	0.553295002211411	0.109250039480711	0.285184785103905	1.15364034124897	22
PID_SMAD2_3NUCLEAR_PATHWAY	0.263713080168776	0.553295002211411	0.120985142145252	-0.269605539830055	-1.17276746366239	25
PID_PDGFRA_PATHWAY	0.31198347107438	0.583449608242997	0.108394255853397	-0.340203850509626	-1.10209292802191	11
PID_TXA2PATHWAY	0.32776617954071	0.605106792998234	0.105920292736253	-0.247697781312029	-1.09487310025317	27
PID_BCR_5PATHWAY	0.348101265822785	0.62962962962963	0.102821842840815	-0.233252418344079	-1.08388210324925	32
PID_HIV_NEF_PATHWAY	0.349794238683128	0.62962962962963	0.100990587455923	-0.284757177962418	-1.068125379953	16
PID_AURORA_B_PATHWAY	0.374745417515275	0.653798351299937	0.096240602328129	-0.280815164610657	-1.03505602829524	15
PID_AVB3_OPN_PATHWAY	0.367864693446089	0.653798351299937	0.0995791200495904	-0.267625277718122	-1.05327098672981	19
PID_HDAC_CLASSI_PATHWAY	0.376842105263158	0.653798351299937	0.0978773277424561	-0.23209366470517	-1.06354445950886	30
PID_PI3KCI_PATHWAY	0.38655462184874	0.662665066026411	0.096240602328129	-0.254866485234431	-1.05426320669179	22
PID_S1P_S1P2_PATHWAY	0.410788381742739	0.69592384671711	0.0919686140000427	-0.327857526827176	-1.02235925409194	10
PID_HNF3A_PATHWAY	0.430528375733855	0.712598690869829	0.0860347242455604	0.280943608931423	1.00754322311096	15
PID_NEPHRIN_NEPH1_PATHWAY	0.429435483870968	0.712598690869829	0.0878312634480124	-0.28843854294342	-0.986044813547668	12
PID_CD40_PATHWAY	0.464358452138493	0.759859285317534	0.0840745577910723	-0.263164630387596	-0.969997961094558	15
PID_E2F_PATHWAY	0.490759753593429	0.777787697527006	0.0815265143256594	-0.250094812942389	-0.953321926492001	17
PID_HDAC_CLASSIII_PATHWAY	0.483870967741935	0.777787697527006	0.0813027345384498	-0.275599576452853	-0.942154020763364	12
PID_IL2_PI3K_PATHWAY	0.496919917864476	0.777787697527006	0.0808589150280032	-0.248788150280098	-0.948341134800101	17
PID_LYSOPHOSPHOLIPID_PATHWAY	0.496881496881497	0.777787697527006	0.0815265143256594	-0.219990472179433	-0.96904186884314	26
PID_INTEGRIN_A4B1_PATHWAY	0.503054989816701	0.778923855200052	0.0797705918628453	-0.255149556461306	-0.940455216862279	15
PID_FANCONI_PATHWAY	0.511857707509881	0.784122445547052	0.077274697304471	0.288582492168769	0.959318634942027	12
PID_HDAC_CLASSII_PATHWAY	0.530737704918033	0.804486626402071	0.077274697304471	-0.259451637922633	-0.906108551583788	13
PID_AR_TF_PATHWAY	0.553014553014553	0.82952182952183	0.0758886900606117	-0.210923361813008	-0.929101913773991	26
PID_HES_HEY_PATHWAY	0.575052854122622	0.850019885709501	0.0747385227439092	-0.232170192758437	-0.913733299413856	19
PID_INSULIN_PATHWAY	0.589494163424125	0.850019885709501	0.0692836467392548	0.231943824258061	0.910223301330449	20
PID_LYMPH_ANGIOGENESIS_PATHWAY	0.588842975206612	0.850019885709501	0.0723570851036907	-0.26920695650024	-0.872097956824335	11
PID_P75_NTR_PATHWAY	0.59043659043659	0.850019885709501	0.0725351864394589	-0.203442163964496	-0.89614778684074	26
PID_RAC1_REG_PATHWAY	0.596194503171247	0.850019885709501	0.0728938564822936	-0.228941027555541	-0.901024537190173	19
PID_BETA_CATENIN_NUC_PATHWAY	0.609603340292276	0.860616480412624	0.0711327399327894	-0.201124663382027	-0.897360615959056	28
PID_TRKR_PATHWAY	0.61864406779661	0.864900444298173	0.0711327399327894	-0.194473833910512	-0.895579965364874	31
PID_EPO_PATHWAY	0.680672268907563	0.933493397358944	0.065981614400873	-0.214435197048363	-0.828380032684055	18
PID_NECTIN_PATHWAY	0.680244399185336	0.933493397358944	0.0645031249656493	-0.221206861372806	-0.815345907980582	15
PID_ARF_3PATHWAY	0.72007722007722	0.941972453312161	0.059221919380382	0.244912614070829	0.79367326699408	11
PID_ATM_PATHWAY	0.771894093686354	0.941972453312161	0.0584693210386381	-0.203834695305867	-0.75131387738472	15
PID_CDC42_REG_PATHWAY	0.771760154738878	0.941972453312161	0.0560595875032335	0.220804112342306	0.777498667671346	14
PID_HIF1_TFPATHWAY	0.764462809917355	0.941972453312161	0.0596037042575973	-0.187187769210004	-0.768884040336122	21
PID_IL12_2PATHWAY	0.758099352051836	0.941972453312161	0.0621124188949471	-0.167020134708742	-0.829062868635641	38
PID_IL3_PATHWAY	0.75	0.941972453312161	0.0605092988656667	-0.235787089467724	-0.76383404665167	11
PID_IL4_2PATHWAY	0.761099365750529	0.941972453312161	0.0609039347452418	-0.197764665445967	-0.778326270562372	19
