"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AL031590.1",7.25625735821571e-14,1.00652771048194,0.167,0.002,1.65326567649587e-09,"0","AL031590.1"
"RABL2A",8.74790670348169e-11,1.64852831416578,0.417,0.035,1.99312306332127e-06,"0","RABL2A"
"TCN2",1.45429293357545e-10,0.847247757159479,0.167,0.004,3.31346101985832e-06,"0","TCN2"
"USP30-AS1",1.58135131933044e-10,1.11259010064452,0.167,0.004,3.60295084596246e-06,"0","USP30-AS1"
"TMEM217",1.71923563641553e-10,0.773196131618661,0.167,0.004,3.91710647400915e-06,"0","TMEM217"
"NAT10",1.07311212121582e-08,1.65868736681729,0.5,0.066,0.000244497865697813,"0","NAT10"
"AL356417.3",1.52490071911684e-08,0.977212072717492,0.167,0.006,0.000347433379843582,"0","AL356417.3"
"ANKRD30BL",1.74195574143553e-08,0.766325683749694,0.167,0.006,0.000396887196128671,"0","ANKRD30BL"
"LINC01871",8.86386398175693e-07,1.4709764437888,0.5,0.09,0.020195427696035,"0","LINC01871"
"RBM42",2.54550759065844e-06,1.04132893943552,0.167,0.01,0.0579968449455618,"0","RBM42"
"COQ8A",2.65310591343148e-06,1.16665489447439,0.25,0.023,0.0604483651316229,"0","COQ8A"
"LANCL1-AS1",2.79863491064245e-06,0.899319659297961,0.167,0.01,0.0637640978040775,"0","LANCL1-AS1"
"APOC1",2.79863491064245e-06,0.9444744535836,0.167,0.01,0.0637640978040775,"0","APOC1"
"FREM2",2.93408863033719e-06,0.929818559435538,0.167,0.01,0.0668502753536025,"0","FREM2"
"POLR2L",3.33058681500476e-06,1.01591207611262,0.25,0.023,0.0758840899930684,"0","POLR2L"
"NAA30",4.99405919081867e-06,1.07761857303625,0.333,0.043,0.113784644603613,"0","NAA30"
"AC018816.1",1.16310623628288e-05,1.37161282164741,0.417,0.076,0.265002124874692,"0","AC018816.1"
"ZNF287",1.25084268035243e-05,1.25379813256258,0.167,0.012,0.284991996291498,"0","ZNF287"
"NGDN",1.4253698900298e-05,1.35879293614525,0.333,0.049,0.324756275744391,"0","NGDN"
"OGFOD2",1.47599003558009e-05,0.763214688113668,0.167,0.012,0.336289569706567,"0","OGFOD2"
"BDH1",1.60257411294955e-05,0.899396278374533,0.167,0.012,0.365130485894425,"0","BDH1"
"CD274",1.60257411294955e-05,0.601914628134619,0.167,0.012,0.365130485894425,"0","CD274"
"AC090617.4",1.60257411294955e-05,0.724471780684449,0.167,0.012,0.365130485894425,"0","AC090617.4"
"TLNRD1",1.73946526065245e-05,0.637683619550152,0.167,0.012,0.396319764987055,"0","TLNRD1"
"CPNE3",1.75436117541016e-05,1.03813627216047,0.25,0.027,0.399713650205451,"0","CPNE3"
"MRPL37",1.88745399537641e-05,0.636864513061369,0.167,0.012,0.430037518306561,"0","MRPL37"
"GPR137",1.90944330386574e-05,0.91668741313262,0.25,0.027,0.43504756235277,"0","GPR137"
"ZBTB34",4.8507739930355e-05,1.11572277283051,0.167,0.014,1,"0","ZBTB34"
"MCRS1",5.34838256726183e-05,1.07681178325399,0.25,0.031,1,"0","MCRS1"
"SLCO4A1",5.4135206301738e-05,0.893733406233931,0.167,0.014,1,"0","SLCO4A1"
"AP3S1",5.63821424728843e-05,0.996521585496671,0.333,0.055,1,"0","AP3S1"
"KRT19",5.82246780336714e-05,0.533916543570052,0.167,0.014,1,"0","KRT19"
"PATL2",0.000138696448409371,1.68638592340455,0.417,0.096,1,"0","PATL2"
"HSD17B10",0.000139456537142643,0.763051128492239,0.167,0.016,1,"0","HSD17B10"
"PRPF31",0.00014216823456462,1.02844221130951,0.333,0.06,1,"0","PRPF31"
"LMNA",0.000153870152300817,0.844448618953672,0.167,0.016,1,"0","LMNA"
"SLC41A1",0.000166524893169499,0.866408243649117,0.25,0.035,1,"0","SLC41A1"
"RPS6KA1",0.000172018557955412,1.83111187915405,0.583,0.175,1,"0","RPS6KA1"
"AC139720.1",0.000201443822906348,1.2923431994504,0.5,0.131,1,"0","AC139720.1"
"PARP9",0.000203538308789938,1.16200124807269,0.75,0.292,1,"0","PARP9"
"DOK2",0.000221220906323432,0.944306242167222,0.5,0.125,1,"0","DOK2"
"TBC1D13",0.000244300440553587,0.926345030368169,0.25,0.037,1,"0","TBC1D13"
"PILRB",0.000267594019029657,1.01004884690549,0.667,0.236,1,"0","PILRB"
"VCAN",0.000278098590878186,0.866513168293871,0.25,0.037,1,"0","VCAN"
"GNG5",0.000293628272131131,1.06869570786606,0.25,0.039,1,"0","GNG5"
"TRAPPC4",0.000303764748046112,1.03525230848583,0.167,0.018,1,"0","TRAPPC4"
"AL627171.2",0.000303764748046112,1.12253569885244,0.167,0.018,1,"0","AL627171.2"
"TBX21",0.000303981902280162,1.01298916257927,0.333,0.064,1,"0","TBX21"
"KCNC4",0.000322466832355525,1.11588131480982,0.167,0.018,1,"0","KCNC4"
"DPAGT1",0.000322466832355525,0.892659218233975,0.167,0.018,1,"0","DPAGT1"
"TXNL4B",0.00037404319823432,0.669482273927753,0.167,0.018,1,"0","TXNL4B"
"BLOC1S4",0.000396756039924501,0.726693725844988,0.167,0.018,1,"0","BLOC1S4"
"HIST1H1D",0.000396756039924501,0.777337304314787,0.167,0.018,1,"0","HIST1H1D"
"P2RY10",0.000415536987773119,1.33147473790429,0.333,0.07,1,"0","P2RY10"
"PEMT",0.000420752386523642,0.584175547929519,0.167,0.018,1,"0","PEMT"
"TUSC3",0.000433252513801899,0.578112694488171,0.167,0.018,1,"0","TUSC3"
"RIC8B",0.00062888077723921,0.894126661823992,0.583,0.185,1,"0","RIC8B"
"HBP1",0.000646084114289096,1.03836292712132,0.333,0.072,1,"0","HBP1"
"PIPOX",0.000668651372208583,1.19035821176834,0.167,0.019,1,"0","PIPOX"
"SLC2A4RG",0.000696879151126921,0.939730661523674,0.333,0.072,1,"0","SLC2A4RG"
"ESS2",0.000725355434078398,0.603745435300469,0.167,0.019,1,"0","ESS2"
"AP001767.3",0.000745228431558572,0.721008402848067,0.167,0.019,1,"0","AP001767.3"
"COG2",0.000762479191235367,1.14405607729743,0.333,0.076,1,"0","COG2"
"DFFB",0.000795029849861702,0.937700127071875,0.25,0.043,1,"0","DFFB"
"DAB1",0.000809788333969261,1.17168987225753,0.333,0.072,1,"0","DAB1"
"ZNF330",0.000923724476637226,0.781710449944363,0.25,0.043,1,"0","ZNF330"
"TTC24",0.000948533270471261,1.2882939072553,0.25,0.045,1,"0","TTC24"
"OGDH",0.000956038713462303,0.969572750411784,0.75,0.318,1,"0","OGDH"
"ZNF41",0.000983789055481612,1.08649083978882,0.25,0.045,1,"0","ZNF41"
"MZF1",0.00099903975522468,1.26391554098772,0.333,0.078,1,"0","MZF1"
"STX7",0.00113494437773646,1.18362247305223,0.333,0.078,1,"0","STX7"
"AL512428.1",0.00115268511920876,1.17175101702283,0.167,0.021,1,"0","AL512428.1"
"HOPX",0.00118201398699231,0.774617675047661,0.167,0.021,1,"0","HOPX"
"DNTTIP1",0.00121203104062697,0.826697279801222,0.167,0.021,1,"0","DNTTIP1"
"NSMCE1",0.00124417754302446,0.892108547870685,0.25,0.045,1,"0","NSMCE1"
"ZNF821",0.00130586991153201,1.03095233580573,0.333,0.078,1,"0","ZNF821"
"HEATR5A",0.00130635843094518,0.802851779020091,0.167,0.021,1,"0","HEATR5A"
"LINC01609",0.00133199927706519,0.878894687252076,0.25,0.047,1,"0","LINC01609"
"AC097103.2",0.00133927670098336,0.850922907840255,0.167,0.021,1,"0","AC097103.2"
"JOSD1",0.00136027169100916,0.798728078703466,0.25,0.045,1,"0","JOSD1"
