"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DCAF5",0.691004990047498,0.267265216830296,0.273,0.228,1,"5","DCAF5"
"SMC6",0.691642799396692,-0.259239301519176,0.091,0.132,1,"5","SMC6"
"ZNF316",0.691642799396692,-0.317050034432725,0.091,0.132,1,"5","ZNF316"
"CBLB",0.692740412851958,-0.394696594081718,0.273,0.33,1,"5","CBLB"
"PAWR",0.693261026822522,-0.412878258955889,0.182,0.239,1,"5","PAWR"
"SMARCA4",0.693261026822522,-0.334519759833844,0.182,0.239,1,"5","SMARCA4"
"PRR14L",0.693261026822522,1.20065815231239,0.273,0.234,1,"5","PRR14L"
"ARHGAP10",0.69385228512394,-0.41890114022782,0.182,0.228,1,"5","ARHGAP10"
"GRIPAP1",0.695132110323377,-0.477591215527832,0.091,0.122,1,"5","GRIPAP1"
"UQCRC2",0.695132110323377,-0.560034582379047,0.091,0.122,1,"5","UQCRC2"
"EHHADH",0.696197828187289,-0.273734162909962,0.091,0.137,1,"5","EHHADH"
"CRTC3",0.696197828187289,-0.251020144777319,0.091,0.137,1,"5","CRTC3"
"MYEF2",0.69695460040509,0.346995067856547,0.182,0.152,1,"5","MYEF2"
"ACO2",0.69695460040509,0.38396311561893,0.182,0.152,1,"5","ACO2"
"TAOK3",0.697040804824005,-0.664760064662821,0.364,0.36,1,"5","TAOK3"
"SPG11",0.697980672808192,-0.410458317543895,0.182,0.244,1,"5","SPG11"
"FAM133B",0.698154630427148,-0.407639818763321,0.091,0.132,1,"5","FAM133B"
"TRIP10",0.698154630427148,-0.394891985745916,0.091,0.132,1,"5","TRIP10"
"ADAMTS3",0.698352582291849,0.625275163082955,0.091,0.147,1,"5","ADAMTS3"
"PPP4R3B",0.698732874878228,-0.266499148195591,0.182,0.234,1,"5","PPP4R3B"
"MYO6",0.700236858540342,-0.250899453828433,0.364,0.447,1,"5","MYO6"
"MICU1",0.700398534560055,0.527637405086544,0.273,0.264,1,"5","MICU1"
"RRAS2",0.700523618596816,0.34118705571075,0.273,0.239,1,"5","RRAS2"
"RERE",0.700595809842285,-0.275890440970002,0.636,0.645,1,"5","RERE"
"IFT122",0.701878415439186,-0.459765631572039,0.091,0.122,1,"5","IFT122"
"NAPEPLD",0.701878415439186,-0.565190362038198,0.091,0.122,1,"5","NAPEPLD"
"TGFB1",0.701878415439186,-0.525523977743078,0.091,0.122,1,"5","TGFB1"
"TOM1L2",0.703028076391434,0.316324269397023,0.182,0.152,1,"5","TOM1L2"
"SEC31A",0.704261423162502,-0.429824951669438,0.182,0.228,1,"5","SEC31A"
